"professorName","department","sourceSystem","sourceUrl","externalId","averageRating","reviewCount","difficultyRating","wouldTakeAgainPercent","capturedAt"
"Amit Kumar Sikder","Computer Science","RATE_MY_PROFESSORS","","","","","","",""
"Amy Andreotti","Biochemistry, Biophysics, and Molecular Biology; University Professor","RATE_MY_PROFESSORS","","","","","","",""
"Amy Burgin","Ecology, Evolution, and Organismal Biology","RATE_MY_PROFESSORS","","","","","","",""
"Amy C. Christensen","Music and Theatre","RATE_MY_PROFESSORS","","","","","","",""
"Amy Erica Smith","Political Science","RATE_MY_PROFESSORS","","","","","","",""
"Amy G. Froelich","Statistics","RATE_MY_PROFESSORS","","","","","","",""
"Amy Harris","Art and Visual Culture","RATE_MY_PROFESSORS","","","","","","",""
"Amy J. Rutenberg","History","RATE_MY_PROFESSORS","","","","","","",""
"Amy Leigh Kaleita","Agricultural and Biosystems Engineering","RATE_MY_PROFESSORS","","","","","","",""
"Amy Louise Vincent","Veterinary Microbiology and Preventive Medicine","RATE_MY_PROFESSORS","","","","","","",""
"Amy Lynn Toth","Ecology, Evolution, and Organismal Biology; Professor of Plant Pathology, Entomology, and Microbiology","RATE_MY_PROFESSORS","","","","","","",""
"Amy M. Popillion","Human Development and Family Studies","RATE_MY_PROFESSORS","","","","","","",""
"Amy Murphy","English","RATE_MY_PROFESSORS","","","","","","",""
"Amy R. Slagell","English; Senior Associate","RATE_MY_PROFESSORS","","","","","","",""
"Amy Shane-Nichols","Apparel, Events, and Hospitality Management","RATE_MY_PROFESSORS","","","","","","",""
"Amy Sue Bix","History","RATE_MY_PROFESSORS","","","","","","",""
"Amy Walton","English","RATE_MY_PROFESSORS","","","","","","",""
"Ana Luz","Industrial Design","RATE_MY_PROFESSORS","","","","","","",""
"Ananda Weerasinghe","Mathematics","RATE_MY_PROFESSORS","","","","","","",""
"Anderson Hentz Gris","Veterinary Diagnostic and Production Animal Medicine","RATE_MY_PROFESSORS","","","","","","",""
"Andrea L. Quam","Graphic Design","RATE_MY_PROFESSORS","","","","","","",""
"Andrea Wheeler","Architecture","RATE_MY_PROFESSORS","","","","","","",""
"Andreas Kreyssig","Physics and Astronomy","RATE_MY_PROFESSORS","","","","","","",""
"Andreas Schwab","Management and Entrepreneurship","RATE_MY_PROFESSORS","","","","","","",""
"Andrew Ballard","Practice, Architecture","RATE_MY_PROFESSORS","","","","","","",""
"Andrew Bolstad","Electrical and Computer Engineering","RATE_MY_PROFESSORS","","","","","","",""
"Andrew C. Hillier","Chemical and Biological Engineering","RATE_MY_PROFESSORS","","","","","","",""
"Andrew Crecelius","Marketing","RATE_MY_PROFESSORS","","","","","","",""
"Andrew Gall","Veterinary Clinical Sciences","RATE_MY_PROFESSORS","","","","","","",""
"Andrew Gleeson","Architecture","RATE_MY_PROFESSORS","","","","","","",""
"Andrew Josef Severin","Ecology, Evolution, and Organismal Biology","RATE_MY_PROFESSORS","","","","","","",""
"Andrew Lee Hochstetler","Sociology and Criminal Justice","RATE_MY_PROFESSORS","","","","","","",""
"Andrew Manu","Agronomy","RATE_MY_PROFESSORS","","","","","","",""
"Andrew S. Miner","Computer Science","RATE_MY_PROFESSORS","","","","","","",""
"Andrew Smith","Psychology","RATE_MY_PROFESSORS","","","","","","",""
"Andrew Somerville","World Languages and Cultures","RATE_MY_PROFESSORS","","","","","","",""
"Andrew Vanloocke","Agronomy","RATE_MY_PROFESSORS","","","","","","",""
"Andrew W. Lenssen","Agronomy","RATE_MY_PROFESSORS","","","","","","",""
"Andy Law","Veterinary Clinical Sciences","RATE_MY_PROFESSORS","","","","","","",""
"Angela Koppes","Interior Design","RATE_MY_PROFESSORS","","","","","","",""
"Angela M. Powers","Greenlee School of Journalism and Communication","RATE_MY_PROFESSORS","","","","","","",""
"Angela M. Prince","School of Education","RATE_MY_PROFESSORS","","","","","","",""
"Aniefiok D. Inyang","Agricultural and Biosystems Engineering","RATE_MY_PROFESSORS","","","","","","",""
"Anirudh Naig","Apparel, Events, and Hospitality Management","RATE_MY_PROFESSORS","","","","","","",""
"Anita Cody",,"RATE_MY_PROFESSORS","","","","","","",""
"Ann E. Russell","Natural Resource Ecology and Management","RATE_MY_PROFESSORS","","","","","","",""
"Ann M. Gansemer-Topf","School of Education","RATE_MY_PROFESSORS","","","","","","",""
"Ann M. Oberhauser","Sociology and Criminal Justice","RATE_MY_PROFESSORS","","","","","","",""
"Ann Marie Fiore","Apparel, Events, and Hospitality Management; University Professor","RATE_MY_PROFESSORS","","","","","","",""
"Ann Marie Vanderzanden","Horticulture; Associate Provost for Academic Programs","RATE_MY_PROFESSORS","","","","","","",""
"Ann Smiley-Oyen","Kinesiology and Health","RATE_MY_PROFESSORS","","","","","","",""
"Ann Wright","Management","RATE_MY_PROFESSORS","","","","","","",""
"Anna Aversing","Practice, Architecture","RATE_MY_PROFESSORS","","","","","","",""
"Anna Dagmar Peterson","Statistics","RATE_MY_PROFESSORS","","","","","","",""
"Anna Fagre","Veterinary Microbiology and Preventive Medicine","RATE_MY_PROFESSORS","","","","","","",""
"Anna Kerr Johnson","Animal Science","RATE_MY_PROFESSORS","","","","","","",""
"Anna Segner","Art and Visual Culture","RATE_MY_PROFESSORS","","","","","","",""
"Anna Wolc","Animal Science","RATE_MY_PROFESSORS","","","","","","",""
"Annaleena Parhankangas","Management and Entrepreneurship","RATE_MY_PROFESSORS","","","","","","",""
"Anne K. Steiner","Mathematics","RATE_MY_PROFESSORS","","","","","","",""
"Anne Kimber","Electrical and Computer Engineering","RATE_MY_PROFESSORS","","","","","","",""
"Anne Marie Clem","Accounting","RATE_MY_PROFESSORS","","","","","","",""
"Anne Marie Foegen","School of Education","RATE_MY_PROFESSORS","","","","","","",""
"Annemarie Butler","Philosophy and Religious Studies","RATE_MY_PROFESSORS","","","","","","",""
"Anson B. Call","Graphic Design; Associate Professor of Architecture","RATE_MY_PROFESSORS","","","","","","",""
"Anthony III Pometto","Food Science and Human Nutrition","RATE_MY_PROFESSORS","","","","","","",""
"Anthony M. Townsend","Information Systems and Business Analytics","RATE_MY_PROFESSORS","","","","","","",""
"Anthony Mahama","Agronomy","RATE_MY_PROFESSORS","","","","","","",""
"Anthony Peavy","Psychology","RATE_MY_PROFESSORS","","","","","","",""
"Antonio Arenas Amado","Civil, Construction, and Environmental Engineering","RATE_MY_PROFESSORS","","","","","","",""
"Antonio Lora","Practice, Information Systems and Business Analytics","RATE_MY_PROFESSORS","","","","","","",""
"Antonio P. Mallarino","Agronomy","RATE_MY_PROFESSORS","","","","","","",""
"Anuj Sharma","Civil, Construction, and Environmental Engineering","RATE_MY_PROFESSORS","","","","","","",""
"Anupam Sharma","Aerospace Engineering","RATE_MY_PROFESSORS","","","","","","",""
"Anwesha Sarkar","Electrical and Computer Engineering","RATE_MY_PROFESSORS","","","","","","",""
"April Angelique Eisman","Art and Visual Culture","RATE_MY_PROFESSORS","","","","","","",""
"April Blong","Veterinary Clinical Sciences","RATE_MY_PROFESSORS","","","","","","",""
"April Katz","Art and Visual Culture; Morrill Professor","RATE_MY_PROFESSORS","","","","","","",""
"Aragula Gururaj Rao","Biochemistry, Biophysics, and Molecular Biology","RATE_MY_PROFESSORS","","","","","","",""
"Arden Ray Campbell","Agronomy","RATE_MY_PROFESSORS","","","","","","",""
"Ardith Louise Maney","Political Science; Emerita Professor of Agricultural and Biosystems Engineering","RATE_MY_PROFESSORS","","","","","","",""
"Ardyth M. Gillespie","Food Science and Human Nutrition","RATE_MY_PROFESSORS","","","","","","",""
"Arka P. Ghosh","Statistics; Professor of Industrial and Manufacturing Systems Engineering","RATE_MY_PROFESSORS","","","","","","",""
"Arlington Fink","Mathematics","RATE_MY_PROFESSORS","","","","","","",""
"Arlo Elmer Ledet","Veterinary Pathology","RATE_MY_PROFESSORS","","","","","","",""
"Armine Ghalachyan","Apparel, Events, and Hospitality Management","RATE_MY_PROFESSORS","","","","","","",""
"Arnel Roy Hallauer","Agronomy; Charles F","RATE_MY_PROFESSORS","","","","","","",""
"Arnold M. Faden","Economics","RATE_MY_PROFESSORS","","","","","","",""
"Arnold Richard Cowan","Finance","RATE_MY_PROFESSORS","","","","","","",""
"Arnold Van Der Valk","Ecology, Evolution, and Organismal Biology","RATE_MY_PROFESSORS","","","","","","",""
"Arsalan Ahmad","Electrical and Computer Engineering","RATE_MY_PROFESSORS","","","","","","",""
"Arthur A. Jr. Smith","Philosophy and Religious Studies; Emeritus Professor of Political Science","RATE_MY_PROFESSORS","","","","","","",""
"Arthur E. Oldehoeft","Computer Science","RATE_MY_PROFESSORS","","","","","","",""
"Arthur G. Swift","Music and Theatre","RATE_MY_PROFESSORS","","","","","","",""
"Arthur Gautesen","Mathematics","RATE_MY_PROFESSORS","","","","","","",""
"Arthur V. Pohm","Electrical and Computer Engineering; Anson Marston Distinguished Professor in Engineering","RATE_MY_PROFESSORS","","","","","","",""
"Arthur Winter","Chemistry","RATE_MY_PROFESSORS","","","","","","",""
"Arti Singh","Agronomy","RATE_MY_PROFESSORS","","","","","","",""
"Arun K. Somani","Electrical and Computer Engineering; Anson Marston Distinguished Professor in Engineering; Associate","RATE_MY_PROFESSORS","","","","","","",""
"Arvid Eric Osterberg","Architecture; University Professor","RATE_MY_PROFESSORS","","","","","","",""
"Arvid Ray Eide","Mechanical Engineering","RATE_MY_PROFESSORS","","","","","","",""
"Asheesh Singh","Agronomy","RATE_MY_PROFESSORS","","","","","","",""
"Ashfaq A. Khokhar","Electrical and Computer Engineering","RATE_MY_PROFESSORS","","","","","","",""
"Ashley Goreczny","Marketing","RATE_MY_PROFESSORS","","","","","","",""
"Ashraf Bastawros","Aerospace Engineering; Professor of Mechanical Engineering","RATE_MY_PROFESSORS","","","","","","",""
"Ashraf Gaffar","Electrical and Computer Engineering","RATE_MY_PROFESSORS","","","","","","",""
